ID Transaksi;Tanggal;Hari;Bulan;Kuartal;Tahun;Jam Transaksi;Nama Produk;Kategori; Harga Satuan ;Jumlah;Diskon (%); Total Penjualan ; HPP ; Laba Kotor ;Margin (%);Cabang;Kasir;Metode Pembayaran;Status Member;Rating Pelanggan;
TRX-0001;16/10/2024;Rabu;Oktober;Q4;2024;Malam (20-22);Aqua 1.5L;Minuman; Rp5.000,00 ;5;0; Rp25.000,00 ; Rp14.699,00 ; Rp10.301,00 ;41,20;Malang Kota;Dewi;Tunai;Member;1;
TRX-0002;06/04/2023;Kamis;April;Q2;2023;Siang (12-16);Oreo;Snack; Rp10.000,00 ;9;10; Rp81.000,00 ; Rp44.915,00 ; Rp36.085,00 ;44,55;Kepanjen;Dewi;Kartu Kredit;Non-Member;5;
TRX-0003;12/10/2023;Kamis;Oktober;Q4;2023;Pagi (08-12);Teh Botol;Minuman; Rp6.000,00 ;7;0; Rp42.000,00 ; Rp25.084,00 ; Rp16.916,00 ;40,28;Kepanjen;Siti;Tunai;Non-Member;1;
TRX-0004;03/01/2024;Rabu;Januari;Q1;2024;Malam (20-22);Softex;Kebersihan; Rp18.000,00 ;5;20; Rp72.000,00 ; Rp40.132,00 ; Rp31.868,00 ;44,26;Lawang;Dewi;Tunai;Member;5;
TRX-0005;28/10/2023;Sabtu;Oktober;Q4;2023;Pagi (08-12);Lip Balm Nivea;Perawatan; Rp18.000,00 ;10;0; Rp180.000,00 ; Rp120.560,00 ; Rp59.440,00 ;33,02;Malang Kota;Budi;Kartu Debit;Member;1;
TRX-0006;25/01/2024;Kamis;Januari;Q1;2024;Siang (12-16);Deterjen Rinso;Kebersihan; Rp22.000,00 ;6;0; Rp132.000,00 ; Rp80.907,00 ; Rp51.093,00 ;38,71;Kepanjen;Siti;Tunai;Member;2;
TRX-0007;18/04/2024;Kamis;April;Q2;2024;Sore (16-20);Royco Ayam;Bumbu Dapur; Rp5.000,00 ;9;0; Rp45.000,00 ; Rp29.987,00 ; Rp15.013,00 ;33,36;Malang Kota;Budi;Tunai;Non-Member;3;
TRX-0008;09/03/2023;Kamis;Maret;Q1;2023;Sore (16-20);Cheetos;Snack; Rp11.000,00 ;6;0; Rp66.000,00 ; Rp43.654,00 ; Rp22.346,00 ;33,86;Lawang;Agus;QRIS;Member;2;
TRX-0009;28/07/2024;Minggu;Juli;Q3;2024;Siang (12-16);Lip Balm Nivea;Perawatan; Rp18.000,00 ;10;5; Rp171.000,00 ; Rp120.150,00 ; Rp50.850,00 ;29,74;Lawang;Siti;QRIS;Non-Member;1;
TRX-0010;18/02/2023;Sabtu;Februari;Q1;2023;Malam (20-22);Teh Botol;Minuman; Rp6.000,00 ;3;20; Rp14.400,00 ; Rp9.586,00 ; Rp4.814,00 ;33,43;Batu;Rina;Kartu Kredit;Non-Member;5;
TRX-0011;15/09/2023;Jumat;September;Q3;2023;Sore (16-20);Pelembab Vaseline;Perawatan; Rp25.000,00 ;2;15; Rp42.500,00 ; Rp29.768,00 ; Rp12.732,00 ;29,96;Singosari;Siti;Tunai;Non-Member;2;
TRX-0012;09/04/2024;Selasa;April;Q2;2024;Siang (12-16);Pocari Sweat;Minuman; Rp8.000,00 ;9;20; Rp57.600,00 ; Rp33.429,00 ; Rp24.171,00 ;41,96;Malang Kota;Siti;Voucher;Member;3;
TRX-0013;15/06/2023;Kamis;Juni;Q2;2023;Sore (16-20);Kapas Kecantikan;Perawatan; Rp8.000,00 ;1;10; Rp7.200,00 ; Rp4.357,00 ; Rp2.843,00 ;39,49;Malang Kota;Rina;Kartu Debit;Member;1;
TRX-0014;04/09/2023;Senin;September;Q3;2023;Siang (12-16);Pelembab Vaseline;Perawatan; Rp25.000,00 ;2;15; Rp42.500,00 ; Rp26.886,00 ; Rp15.614,00 ;36,74;Malang Kota;Dewi;QRIS;Non-Member;5;
TRX-0015;19/06/2023;Senin;Juni;Q2;2023;Malam (20-22);Softex;Kebersihan; Rp18.000,00 ;10;5; Rp171.000,00 ; Rp122.084,00 ; Rp48.916,00 ;28,61;Batu;Budi;Kartu Debit;Non-Member;4;
TRX-0016;13/06/2024;Kamis;Juni;Q2;2024;Siang (12-16);Kecap ABC;Bumbu Dapur; Rp14.000,00 ;4;0; Rp56.000,00 ; Rp31.410,00 ; Rp24.590,00 ;43,91;Malang Kota;Dewi;Voucher;Member;1;
TRX-0017;14/03/2023;Selasa;Maret;Q1;2023;Sore (16-20);Teh Botol;Minuman; Rp6.000,00 ;2;0; Rp12.000,00 ; Rp8.354,00 ; Rp3.646,00 ;30,38;Malang Kota;Dewi;QRIS;Non-Member;2;
TRX-0018;06/07/2024;Sabtu;Juli;Q3;2024;Pagi (08-12);Cheetos;Snack; Rp11.000,00 ;10;5; Rp104.500,00 ; Rp61.792,00 ; Rp42.708,00 ;40,87;Lawang;Agus;QRIS;Member;4;
TRX-0019;29/12/2023;Jumat;Desember;Q4;2023;Sore (16-20);Sania Minyak Goreng;Bumbu Dapur; Rp28.000,00 ;8;20; Rp179.200,00 ; Rp120.771,00 ; Rp58.429,00 ;32,61;Malang Kota;Rina;Kartu Kredit;Member;2;
TRX-0020;16/07/2023;Minggu;Juli;Q3;2023;Pagi (08-12);Cheetos;Snack; Rp11.000,00 ;8;0; Rp88.000,00 ; Rp54.711,00 ; Rp33.289,00 ;37,83;Singosari;Agus;QRIS;Non-Member;5;
TRX-0021;11/04/2023;Selasa;April;Q2;2023;Malam (20-22);Susu Ultra;Minuman; Rp9.000,00 ;1;0; Rp9.000,00 ; Rp6.367,00 ; Rp2.633,00 ;29,26;Kepanjen;Budi;Kartu Kredit;Non-Member;2;
TRX-0022;15/02/2024;Kamis;Februari;Q1;2024;Malam (20-22);Teh Botol;Minuman; Rp6.000,00 ;7;0; Rp42.000,00 ; Rp30.135,00 ; Rp11.865,00 ;28,25;Singosari;Agus;Kartu Debit;Non-Member;2;
TRX-0023;14/07/2023;Jumat;Juli;Q3;2023;Pagi (08-12);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;1;10; Rp13.500,00 ; Rp9.114,00 ; Rp4.386,00 ;32,49;Malang Kota;Siti;Tunai;Non-Member;5;
TRX-0024;27/06/2024;Kamis;Juni;Q2;2024;Siang (12-16);Chitato;Snack; Rp12.000,00 ;9;0; Rp108.000,00 ; Rp75.031,00 ; Rp32.969,00 ;30,53;Malang Kota;Dewi;Tunai;Non-Member;1;
TRX-0025;06/08/2024;Selasa;Agustus;Q3;2024;Sore (16-20);Cheetos;Snack; Rp11.000,00 ;10;0; Rp110.000,00 ; Rp72.082,00 ; Rp37.918,00 ;34,47;Lawang;Dewi;Voucher;Non-Member;2;
TRX-0026;16/11/2024;Sabtu;November;Q4;2024;Pagi (08-12);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;5;5; Rp71.250,00 ; Rp40.773,00 ; Rp30.477,00 ;42,77;Singosari;Agus;Kartu Debit;Member;4;
TRX-0027;28/09/2024;Sabtu;September;Q3;2024;Pagi (08-12);Pelembab Vaseline;Perawatan; Rp25.000,00 ;2;10; Rp45.000,00 ; Rp26.381,00 ; Rp18.619,00 ;41,38;Singosari;Budi;Kartu Debit;Member;3;
TRX-0028;19/10/2023;Kamis;Oktober;Q4;2023;Sore (16-20);Indomie Goreng;Snack; Rp3.500,00 ;9;15; Rp26.775,00 ; Rp16.103,00 ; Rp10.672,00 ;39,86;Batu;Rina;Voucher;Member;2;
TRX-0029;28/09/2023;Kamis;September;Q3;2023;Siang (12-16);Aqua 1.5L;Minuman; Rp5.000,00 ;9;0; Rp45.000,00 ; Rp26.833,00 ; Rp18.167,00 ;40,37;Batu;Budi;Kartu Debit;Non-Member;5;
TRX-0030;15/05/2024;Rabu;Mei;Q2;2024;Sore (16-20);Sabun Lifebuoy;Kebersihan; Rp8.000,00 ;2;15; Rp13.600,00 ; Rp8.459,00 ; Rp5.141,00 ;37,80;Singosari;Rina;Tunai;Member;3;
TRX-0031;15/06/2023;Kamis;Juni;Q2;2023;Pagi (08-12);Gula Pasir 1kg;Bumbu Dapur; Rp16.000,00 ;7;10; Rp100.800,00 ; Rp55.606,00 ; Rp45.194,00 ;44,84;Malang Kota;Budi;Voucher;Non-Member;5;
TRX-0032;19/07/2024;Jumat;Juli;Q3;2024;Siang (12-16);Indomie Goreng;Snack; Rp3.500,00 ;3;0; Rp10.500,00 ; Rp6.325,00 ; Rp4.175,00 ;39,76;Malang Kota;Siti;QRIS;Member;3;
TRX-0033;27/07/2024;Sabtu;Juli;Q3;2024;Siang (12-16);Gula Pasir 1kg;Bumbu Dapur; Rp16.000,00 ;3;0; Rp48.000,00 ; Rp33.455,00 ; Rp14.545,00 ;30,30;Kepanjen;Agus;Tunai;Non-Member;4;
TRX-0034;16/11/2024;Sabtu;November;Q4;2024;Siang (12-16);Qtela;Snack; Rp14.000,00 ;3;20; Rp33.600,00 ; Rp22.486,00 ; Rp11.114,00 ;33,08;Lawang;Rina;Kartu Kredit;Member;4;
TRX-0035;25/12/2023;Senin;Desember;Q4;2023;Pagi (08-12);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;4;0; Rp60.000,00 ; Rp39.732,00 ; Rp20.268,00 ;33,78;Lawang;Siti;Kartu Debit;Non-Member;3;
TRX-0036;18/10/2024;Jumat;Oktober;Q4;2024;Sore (16-20);Hand Sanitizer;Perawatan; Rp12.000,00 ;9;0; Rp108.000,00 ; Rp76.644,00 ; Rp31.356,00 ;29,03;Malang Kota;Siti;QRIS;Member;1;
TRX-0037;02/09/2024;Senin;September;Q3;2024;Siang (12-16);Royco Ayam;Bumbu Dapur; Rp5.000,00 ;6;5; Rp28.500,00 ; Rp18.612,00 ; Rp9.888,00 ;34,69;Batu;Rina;Kartu Kredit;Non-Member;1;
TRX-0038;26/12/2024;Kamis;Desember;Q4;2024;Pagi (08-12);Kecap ABC;Bumbu Dapur; Rp14.000,00 ;9;20; Rp100.800,00 ; Rp64.667,00 ; Rp36.133,00 ;35,85;Kepanjen;Siti;Kartu Kredit;Non-Member;5;
TRX-0039;18/11/2023;Sabtu;November;Q4;2023;Siang (12-16);Pocari Sweat;Minuman; Rp8.000,00 ;9;0; Rp72.000,00 ; Rp47.763,00 ; Rp24.237,00 ;33,66;Singosari;Agus;Kartu Debit;Member;4;
TRX-0040;11/11/2024;Senin;November;Q4;2024;Sore (16-20);Saos Sambal;Bumbu Dapur; Rp10.000,00 ;10;10; Rp90.000,00 ; Rp54.105,00 ; Rp35.895,00 ;39,88;Batu;Rina;Kartu Debit;Member;4;
TRX-0041;16/08/2024;Jumat;Agustus;Q3;2024;Siang (12-16);Lip Balm Nivea;Perawatan; Rp18.000,00 ;8;5; Rp136.800,00 ; Rp85.523,00 ; Rp51.277,00 ;37,48;Kepanjen;Dewi;Kartu Kredit;Member;3;
TRX-0042;11/06/2024;Selasa;Juni;Q2;2024;Siang (12-16);Lip Balm Nivea;Perawatan; Rp18.000,00 ;2;20; Rp28.800,00 ; Rp20.501,00 ; Rp8.299,00 ;28,82;Kepanjen;Siti;QRIS;Member;1;
TRX-0043;17/02/2023;Jumat;Februari;Q1;2023;Siang (12-16);Indomie Goreng;Snack; Rp3.500,00 ;10;20; Rp28.000,00 ; Rp19.058,00 ; Rp8.942,00 ;31,94;Lawang;Agus;Voucher;Non-Member;4;
TRX-0044;14/02/2024;Rabu;Februari;Q1;2024;Siang (12-16);Oreo;Snack; Rp10.000,00 ;1;20; Rp8.000,00 ; Rp5.570,00 ; Rp2.430,00 ;30,38;Malang Kota;Agus;QRIS;Non-Member;1;
TRX-0045;24/07/2024;Rabu;Juli;Q3;2024;Sore (16-20);Chitato;Snack; Rp12.000,00 ;8;0; Rp96.000,00 ; Rp65.879,00 ; Rp30.121,00 ;31,38;Batu;Dewi;Voucher;Non-Member;5;
TRX-0046;31/05/2024;Jumat;Mei;Q2;2024;Siang (12-16);Gula Pasir 1kg;Bumbu Dapur; Rp16.000,00 ;8;0; Rp128.000,00 ; Rp86.582,00 ; Rp41.418,00 ;32,36;Lawang;Agus;Kartu Debit;Non-Member;5;
TRX-0047;11/05/2024;Sabtu;Mei;Q2;2024;Sore (16-20);Qtela;Snack; Rp14.000,00 ;8;0; Rp112.000,00 ; Rp75.186,00 ; Rp36.814,00 ;32,87;Kepanjen;Siti;Kartu Debit;Member;2;
TRX-0048;04/06/2023;Minggu;Juni;Q2;2023;Malam (20-22);Indomie Goreng;Snack; Rp3.500,00 ;3;15; Rp8.925,00 ; Rp5.233,00 ; Rp3.692,00 ;41,37;Lawang;Agus;Kartu Debit;Non-Member;1;
TRX-0049;31/07/2023;Senin;Juli;Q3;2023;Pagi (08-12);Sania Minyak Goreng;Bumbu Dapur; Rp28.000,00 ;10;15; Rp238.000,00 ; Rp131.690,00 ; Rp106.310,00 ;44,67;Batu;Agus;Kartu Kredit;Non-Member;3;
TRX-0050;04/02/2024;Minggu;Februari;Q1;2024;Sore (16-20);Gula Pasir 1kg;Bumbu Dapur; Rp16.000,00 ;9;20; Rp115.200,00 ; Rp75.174,00 ; Rp40.026,00 ;34,74;Kepanjen;Agus;QRIS;Non-Member;4;
TRX-0051;30/01/2023;Senin;Januari;Q1;2023;Pagi (08-12);Royco Ayam;Bumbu Dapur; Rp5.000,00 ;7;15; Rp29.750,00 ; Rp17.197,00 ; Rp12.553,00 ;42,19;Lawang;Budi;Voucher;Non-Member;5;
TRX-0052;31/07/2024;Rabu;Juli;Q3;2024;Malam (20-22);Aqua 1.5L;Minuman; Rp5.000,00 ;7;0; Rp35.000,00 ; Rp24.408,00 ; Rp10.592,00 ;30,26;Kepanjen;Rina;Kartu Debit;Non-Member;2;
TRX-0053;10/04/2024;Rabu;April;Q2;2024;Malam (20-22);Pasta Gigi Pepsodent;Kebersihan; Rp12.000,00 ;7;0; Rp84.000,00 ; Rp56.939,00 ; Rp27.061,00 ;32,22;Lawang;Siti;Tunai;Member;5;
TRX-0054;23/02/2023;Kamis;Februari;Q1;2023;Siang (12-16);Shampo Sunsilk;Kebersihan; Rp15.000,00 ;2;20; Rp24.000,00 ; Rp17.106,00 ; Rp6.894,00 ;28,73;Malang Kota;Rina;QRIS;Member;5;
TRX-0055;06/06/2023;Selasa;Juni;Q2;2023;Sore (16-20);Oreo;Snack; Rp10.000,00 ;8;15; Rp68.000,00 ; Rp38.722,00 ; Rp29.278,00 ;43,06;Kepanjen;Agus;Kartu Debit;Member;5;
TRX-0056;13/09/2024;Jumat;September;Q3;2024;Malam (20-22);Teh Botol;Minuman; Rp6.000,00 ;5;0; Rp30.000,00 ; Rp19.451,00 ; Rp10.549,00 ;35,16;Singosari;Dewi;Kartu Kredit;Member;1;
TRX-0057;29/08/2024;Kamis;Agustus;Q3;2024;Sore (16-20);Chitato;Snack; Rp12.000,00 ;5;20; Rp48.000,00 ; Rp31.984,00 ; Rp16.016,00 ;33,37;Malang Kota;Dewi;Tunai;Non-Member;3;
TRX-0058;12/03/2023;Minggu;Maret;Q1;2023;Sore (16-20);Lip Balm Nivea;Perawatan; Rp18.000,00 ;1;20; Rp14.400,00 ; Rp8.948,00 ; Rp5.452,00 ;37,86;Lawang;Rina;Kartu Kredit;Non-Member;2;
TRX-0059;21/03/2024;Kamis;Maret;Q1;2024;Malam (20-22);Cheetos;Snack; Rp11.000,00 ;5;10; Rp49.500,00 ; Rp34.026,00 ; Rp15.474,00 ;31,26;Batu;Agus;Kartu Kredit;Non-Member;3;
TRX-0060;09/09/2023;Sabtu;September;Q3;2023;Sore (16-20);Pocari Sweat;Minuman; Rp8.000,00 ;8;0; Rp64.000,00 ; Rp43.365,00 ; Rp20.635,00 ;32,24;Batu;Dewi;Kartu Kredit;Member;4;
TRX-0061;29/11/2023;Rabu;November;Q4;2023;Sore (16-20);Indomie Goreng;Snack; Rp3.500,00 ;4;0; Rp14.000,00 ; Rp9.599,00 ; Rp4.401,00 ;31,44;Singosari;Siti;Voucher;Member;5;
TRX-0062;15/07/2023;Sabtu;Juli;Q3;2023;Malam (20-22);Teh Botol;Minuman; Rp6.000,00 ;7;5; Rp39.900,00 ; Rp25.711,00 ; Rp14.189,00 ;35,56;Kepanjen;Agus;Kartu Kredit;Member;1;
